name,source,excluded,excluded_reason,signature,also_in,boundary_conditions,initial_conditions,absolute_orientation,orientation_mix,disable_symmetry,differs_from_core,core_semantics_approximation,breaks_e3_isotropy,num_cohorts,trail_persistence,memory_time_steps,trail_diffusion,drag,negative_drag,hazard_rate,sensor_distance
9LeafClovers,core,False,,f6c135142b79,,2,1,0,1.0,False,,False,False,1,0.9430000185966492,17.54,1.0,0.125,False,0.0,1.0130000114440918
Adrift,core,False,,fadd61cc19db,fluoddity/Adrift,2,1,0,1.0,False,,False,False,3,0.9810000061988831,52.63,1.0,0.22304090857505798,False,0.008899999782443047,2.065000057220459
Angles,core,False,,12c5d01a6dac,docs/Corners;fluoddity/Angles,2,1,1,0.0,False,absolute_orientation,True,True,6,0.9430000185966492,17.54,1.0,0.125,False,0.0,1.0130000114440918
Batarangs,core,False,,64d02c35d7f5,fluoddity/Batarangs,0,0,0,1.0,False,boundary_conditions,True,False,64,0.9819999933242798,55.56,,0.656000018119812,False,0.0,-1.0521172285079956
Bubbles,core,False,,326fcd72ab59,docs/Bubbles;fluoddity/Bubbles,2,0,0,1.0,False,,False,False,64,0.9430000185966492,17.54,1.0,0.8254010081291199,False,0.0,1.6399999856948853
Butterflies,core,False,,a0bf7bb92792,docs/ReactionConfusion;fluoddity/Butterflies,2,1,0,1.0,False,,False,False,15,0.9380000233650208,16.13,1.0,0.5040000081062317,False,0.0,0.8870000243186951
Circuits,core,False,,a3e53057eaa1,docs/Circuits;fluoddity/Circuits,0,1,0,1.0,False,boundary_conditions,True,False,10,0.9886726140975952,88.28,0.3580000102519989,0.3330000042915344,False,0.0,1.6829999685287476
Critters,core,False,,c4bf6a09cbcc,fluoddity/Critters,2,0,0,1.0,False,,False,False,64,0.44600000977516174,1.81,1.0,0.2370000034570694,False,0.0,2.0859999656677246
Curls,core,False,,fd5ffc59e9ea,fluoddity/Curls,0,0,0,1.0,False,boundary_conditions,True,False,64,0.9430000185966492,17.54,1.0,0.125,False,0.0,1.6399999856948853
Dandelions,core,False,,ade5b57f7757,fluoddity/Dandelions,2,1,0,1.0,False,,False,False,6,0.9810000061988831,52.63,,0.10300000011920929,False,0.0,0.6717398166656494
Ferns,core,False,,11bbb75fd562,fluoddity/Ferns,2,1,0,0.12999999523162842,False,,False,False,1,0.9380000233650208,16.13,1.0,0.5040000081062317,False,0.0,1.093999981880188
Growth,core,False,,c301941edecc,fluoddity/Growth,2,2,0,1.0,False,,False,False,4,0.9900000095367432,100.0,1.0,0.5366925597190857,False,0.0,1.0
HungryHungryHippos,core,False,,8b9c41e5c0a5,docs/HungryHungryHippos;fluoddity/HungryHungryHippos,2,1,0,1.0,False,,False,False,8,0.9819999933242798,55.56,1.0,0.5608117580413818,False,0.0,-1.0521172285079956
LavaLamp,core,False,,b95d09fe069d,fluoddity/LavaLamp,0,1,1,0.1899999976158142,False,boundary_conditions;absolute_orientation,True,True,15,0.9380000233650208,16.13,1.0,0.5981895923614502,False,0.0,0.8870000243186951
Pop,core,True,"E0.4 warm-up floor-limited: the drift test passed on its first and only evaluation (drift 0.071 vs noise floor 0.267), so its settling time is unmeasured and later experiments cannot be started from a known-settled state.",084ef606ad65,docs/Pop;fluoddity/Pop,2,1,0,1.0,False,,False,False,64,0.9950000047683716,200.0,1.0,0.6370000243186951,False,0.0,1.0
RingOfFire,core,False,,bd42b1ce747d,fluoddity/RingOfFire,0,2,1,0.09000000357627869,False,boundary_conditions;absolute_orientation,True,True,1,0.8769999742507935,8.13,0.0,0.6449999809265137,False,0.004000000189989805,0.6259999871253967
RippleTree,core,False,,ff14f8606c3a,fluoddity/RippleTree,0,0,0,1.0,False,boundary_conditions,True,False,21,0.9380000233650208,16.13,1.0,0.5040000081062317,False,0.0,1.309000015258789
Salt,core,False,,5c798894bffe,docs/Sidewinder;fluoddity/Salt,1,2,0,1.0,False,boundary_conditions,True,False,110,0.9810000061988831,52.63,1.0,-0.35018298029899597,True,0.0,0.6717398166656494
Searching,core,False,,33ad90f62e6e,fluoddity/Searching,2,1,0,1.0,False,,False,False,8,0.9819999933242798,55.56,1.0,0.5608117580413818,False,0.0020000000949949026,-1.0521172285079956
SideWinder,core,False,,ee8f465df0e8,fluoddity/SideWinder,0,0,0,1,False,boundary_conditions,True,False,4,0.9810000061988831,52.63,1.0,-0.35018298029899597,True,0.0,0.6717398166656494
Streamers,core,False,,a4cd17b93487,fluoddity/Streamers,0,0,0,1.0,False,boundary_conditions,True,False,64,0.9810000061988831,52.63,1.0,-0.7378671765327454,True,0.0,1.7143139839172363
TV,core,False,,a1c6a3c0ed75,fluoddity/TV,2,1,2,0.20000000298023224,False,absolute_orientation,True,True,11,0.9380000233650208,16.13,1.0,0.21799999475479126,False,0.007000000216066837,1.0
Tadpole,core,False,,d9f97719fb73,fluoddity/Tadpole,1,0,0,1.0,False,boundary_conditions,True,False,64,0.9909999966621399,111.11,1.0,0.30300000309944153,False,0.0,1.8919999599456787
Veins,core,False,,053eeb708371,fluoddity/Veins,0,1,0,1.0,False,boundary_conditions,True,False,8,0.9819999933242798,55.56,,0.5608117580413818,False,0.0,-1.0521172285079956
Wreath,core,False,,32b0d74c36c3,fluoddity/Wreath,1,2,0,1.0,False,boundary_conditions,True,False,36,0.984000027179718,62.5,,-0.3228692412376404,True,0.0,1.0
Zipper,core,False,,58986d391746,fluoddity/Zipper,0,0,0,1.0,False,boundary_conditions,True,False,64,0.9879999756813049,83.33,1.0,0.25172317028045654,False,0.0,0.6355574131011963
_Default,core,False,,107ef778be21,fluoddity/_Default,0,0,0,1.0,False,boundary_conditions,True,False,64,0.9380000233650208,16.13,1.0,0.5040000081062317,False,0.0,1.0
Bramble,docs,False,,f4c24b4beab7,,1,2,1,0.0,False,boundary_conditions;absolute_orientation,True,True,1,0.9430000185966492,17.54,1.0,0.3610000014305115,False,0.0,0.9810000061988831
