config,particles_per_pixel,memory_time_steps,steps_per_sec,propagator_max_rel_err,warmup_steps,warmup_settled,warmup_in_memory_times
9LeafClovers,0.5722,17.54,8.51,8.954e-07,,,
Adrift,0.5722,52.63,8.56,2.807e-06,,,
Angles,0.5722,17.54,7.5,8.954e-07,,,
Batarangs,0.5722,55.56,10.3,3.056e-06,,,
Bramble,0.5722,17.54,10.5,8.954e-07,,,
Bubbles,0.5722,17.54,10.2,8.954e-07,,,
Butterflies,0.5722,16.13,9.27,7.695e-07,,,
Cilia,0.5722,17.54,9.74,8.954e-07,,,
Circuits,0.5722,88.28,7.88,2.467e-06,,,
Critters,0.5722,1.81,9.87,6.915e-08,,,
Curls,0.5722,17.54,10.63,8.954e-07,,,
Dandelions,0.5722,52.63,9.29,2.807e-06,,,
Ferns,0.5722,16.13,8.62,7.695e-07,,,
Growth,0.5722,100.0,8.64,5.984e-07,,,
HungryHungryHippos,0.5722,55.56,9.52,3.056e-06,,,
LavaLamp,0.5722,16.13,7.72,7.695e-07,,,
Meandering,0.5722,52.63,10.29,2.807e-06,,,
Nettle,0.5722,200.0,9.11,9.899e-07,,,
Pop,0.5722,200.0,8.55,9.899e-07,,,
RingOfFire,0.5722,8.13,9.34,7.454e-07,,,
RippleTree,0.5722,16.13,10.89,7.695e-07,,,
Salt,0.5722,52.63,9.34,2.807e-06,,,
Searching,0.5722,55.56,9.82,3.056e-06,,,
SideWinder,0.5722,52.63,10.34,2.807e-06,,,
Streamers,0.5722,52.63,10.9,2.807e-06,,,
TV,0.5722,16.13,7.88,7.695e-07,,,
Tadpole,0.5722,111.11,10.34,6.320e-07,,,
Vacuoles,0.5722,17.54,8.74,8.954e-07,,,
Veins,0.5722,55.56,9.22,3.056e-06,,,
Web,0.5722,52.63,10.87,2.807e-06,,,
Wreath,0.5722,62.5,9.27,3.160e-06,,,
Zipper,0.5722,83.33,10.11,7.734e-07,,,
_Default,0.5722,16.13,9.88,7.695e-07,,,
